Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C_13,C7,100pF,SMD-0805,1,
2,,C_14,C8,100pF,SMD-0805,1,
3,,C_15,C9,100pF,SMD-0805,1,
4,,C_17,C11,10nF,SMD-0805,1,
5,,C_23,C12,10nF,SMD-0805,1,
6,,C_18,C14,10nF,SMD-0805,1,
7,,C_21,C1,100nF,SMD-0805,1,
8,,C_24,C2,100nF,SMD-0805,1,
9,,C_19,C3,100nF,SMD-0805,1,
10,,C_20,C5,100nF,SMD-0805,1,
11,,C_16,C10,220nF,SMD-0805,1,
12,,C_22,C15,10uF,SMD-0805,1,
13,,CP2_6,C4,10uF,TantalC_SizeB_Reflow,1,
14,,CP2_5,C13,100uF/50V,Elko_vert_11x5mm_RM2_CopperClear,1,
15,,CP2_4,C6,22-47uF/20V,TantalC_SizeC_Reflow,1,
16,,BAT46SW_2,D3,BAS70-04,SOT-23,1,
17,,D_ZENER_2,D4,"BZV55C-3,6V",,1,
18,,DIODE_3,D1,M4,SMA_Standard,1,
19,,DIODE_4,D2,M4,SMA_Standard,1,
20,,CONN1_1_22,J18,CONN1_1,Straight_1x01,1,
21,,CONN1_1_21,J19,CONN1_1,Straight_1x01,1,
22,,CONN1_1_17,J20,CONN1_1,WAGO256_2,1,
23,,CONN1_1_18,J21,CONN1_1,WAGO256_2,1,
24,,CONN1_1_19,J22,CONN1_1,WAGO256_2,1,
25,,CONN1_1_20,J23,CONN1_1,WAGO256_2,1,
26,,CONN1_1_15,J24,CONN1_1,Straight_1x01,1,
27,,CONN1_1_16,J25,CONN1_1,Straight_1x01,1,
28,,CONN1_1_13,J26,CONN1_1,Straight_1x01,1,
29,,CONN1_1_14,J27,CONN1_1,Straight_1x01,1,
30,,CONN1_1_23,J4,CONN1_1,WAGO256,1,
31,,CONN1_1_24,J5,CONN1_1,WAGO256,1,
32,,JUMP_2x1_24,J1,JUMP_2x1,Straight_2x01,1,
33,,JUMP_2x1_22,J10,JUMP_2x1,Straight_2x01,1,
34,,JUMP_2x1_23,J11,JUMP_2x1,Straight_2x01,1,
35,,JUMP_2x1_21,J12,JUMP_2x1,Straight_2x01,1,
36,,JUMP_2x1_14,J13,JUMP_2x1,Straight_2x01,1,
37,,JUMP_2x1_15,J14,JUMP_2x1,Straight_2x01,1,
38,,JUMP_2x1_16,J15,JUMP_2x1,Straight_2x01,1,
39,,JUMP_2x1_25,J2,JUMP_2x1,Straight_2x01,1,
40,,JUMP_2x1_26,J3,JUMP_2x1,Straight_2x01,1,
41,,JUMP_2x1_20,J6,JUMP_2x1,Straight_2x01,1,
42,,JUMP_2x1_19,J7,JUMP_2x1,Straight_2x01,1,
43,,JUMP_2x1_18,J8,JUMP_2x1,Straight_2x01,1,
44,,JUMP_2x1_17,J9,JUMP_2x1,Straight_2x01,1,
45,,R_9,R6,100,SMD-0805,1,
46,,R_12,R1,1k,SMD-0805,1,
47,,R_11,R2,1k,SMD-0805,1,
48,,R_10,R3,1k,SMD-0805,1,
49,,R_14,R5,1k,SMD-0805,1,
50,,R_8,R7,10k,SMD-0805,1,
51,,R_13,R4,68k,SMD-0805,1,
52,,L6470_2,U1,L6470,POWERSO36,1,
