Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","SMD-0805",18.0975,26.9240,180.0000,bottom
"C2","100nF","SMD-0805",24.3840,28.7020,0.0000,bottom
"C3","100nF","SMD-0805",32.6390,10.9220,-90.0000,bottom
"C4","10uF","TantalC_SizeB_Reflow",19.5580,2.7940,180.0000,bottom
"C5","100nF","SMD-0805",15.7480,9.1440,180.0000,bottom
"C6","22-47uF/20V","TantalC_SizeC_Reflow",28.4480,32.2580,90.0000,bottom
"C7","100pF","SMD-0805",39.1160,2.5400,0.0000,bottom
"C8","100pF","SMD-0805",39.1160,25.1460,-90.0000,bottom
"C9","100pF","SMD-0805",41.1480,25.6540,-90.0000,bottom
"C10","220nF","SMD-0805",19.5580,9.1440,0.0000,bottom
"C11","10nF","SMD-0805",20.5740,6.3500,90.0000,bottom
"C12","10nF","SMD-0805",37.7190,7.7470,90.0000,bottom
"C13","100uF/50V","Elko_vert_11x5mm_RM2_CopperClear",26.6700,31.3690,90.0000,top
"C14","10nF","SMD-0805",40.8940,11.1760,0.0000,bottom
"C15","10uF","SMD-0805",22.7330,6.3500,-90.0000,bottom
"D1","M4","SMA_Standard",23.3680,33.5280,-90.0000,bottom
"D2","M4","SMA_Standard",8.8900,27.1780,-90.0000,bottom
"D3","BAS70-04","SOT-23",17.9070,6.0960,0.0000,bottom
"D4","BZV55C-3,6V","MiniMELF_Standard",40.1320,6.8580,-90.0000,bottom
"J1","JUMP_2x1","Straight_2x01",3.8100,24.8920,0.0000,top
"J2","JUMP_2x1","Straight_2x01",3.8100,27.4320,0.0000,top
"J3","JUMP_2x1","Straight_2x01",3.8100,29.9720,0.0000,top
"J4","CONN1_1","WAGO256",18.7960,32.7660,-90.0000,top
"J5","CONN1_1","WAGO256",13.7160,32.7660,-90.0000,top
"J6","JUMP_2x1","Straight_2x01",35.5600,26.1620,0.0000,top
"J7","JUMP_2x1","Straight_2x01",45.7200,29.7180,0.0000,top
"J8","JUMP_2x1","Straight_2x01",45.7200,27.1780,0.0000,top
"J9","JUMP_2x1","Straight_2x01",30.2260,6.6040,90.0000,top
"J10","JUMP_2x1","Straight_2x01",35.5600,28.7020,0.0000,top
"J11","JUMP_2x1","Straight_2x01",35.5600,33.7820,0.0000,top
"J12","JUMP_2x1","Straight_2x01",35.5600,36.3220,0.0000,top
"J13","JUMP_2x1","Straight_2x01",35.5600,31.2420,0.0000,top
"J14","JUMP_2x1","Straight_2x01",14.4780,5.0800,90.0000,top
"J15","JUMP_2x1","Straight_2x01",11.9380,5.0800,90.0000,top
"J18","CONN1_1","Straight_1x01",25.1460,5.3340,0.0000,top
"J19","CONN1_1","Straight_1x01",25.1460,7.8740,0.0000,top
"J20","CONN1_1","WAGO256_2",42.9260,15.0660,0.0000,top
"J21","CONN1_1","WAGO256_2",42.9260,20.0660,0.0000,top
"J22","CONN1_1","WAGO256_2",7.8740,13.2880,180.0000,top
"J23","CONN1_1","WAGO256_2",7.8740,18.2880,180.0000,top
"J24","CONN1_1","Straight_1x01",27.6860,7.8740,0.0000,top
"J25","CONN1_1","Straight_1x01",27.6860,5.3340,0.0000,top
"J26","CONN1_1","Straight_1x01",32.7660,7.8740,0.0000,top
"J27","CONN1_1","Straight_1x01",32.7660,5.3340,0.0000,top
"P1","sroub","MountingHole_3mm",5.0800,5.0800,0.0000,top
"P2","sroub","MountingHole_3mm",5.0800,35.5600,0.0000,top
"P3","sroub","MountingHole_3mm",45.7200,5.0800,0.0000,top
"P4","sroub","MountingHole_3mm",45.7200,35.5600,0.0000,top
"R1","1k","SMD-0805",35.0520,2.5400,0.0000,bottom
"R2","1k","SMD-0805",39.1160,29.2100,-90.0000,bottom
"R3","1k","SMD-0805",41.1480,29.2100,-90.0000,bottom
"R4","68k","SMD-0805",25.1460,2.5400,0.0000,bottom
"R5","1k","SMD-0805",29.2100,2.5400,0.0000,bottom
"R6","100","SMD-0805",36.8300,11.1760,0.0000,bottom
"R7","10k","SMD-0805",35.4330,6.6040,-90.0000,bottom
"U1","L6470","POWERSO36",23.8760,18.2880,180.0000,bottom
