Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","SMD-0805",18.0975,26.9240,180.0000,bottom
"C2","100nF","SMD-0805",24.3840,28.7020,0.0000,bottom
"C3","100nF","SMD-0805",32.6390,10.9220,-90.0000,bottom
"C4","10uF","TantalC_SizeB_Reflow",19.5580,2.7940,180.0000,bottom
"C5","100nF","SMD-0805",15.7480,9.1440,180.0000,bottom
"C6","22-47uF/20V","TantalC_SizeC_Reflow",28.4480,32.2580,90.0000,bottom
"C7","100pF","SMD-0805",39.1160,2.5400,0.0000,bottom
"C8","100pF","SMD-0805",39.1160,25.1460,-90.0000,bottom
"C9","100pF","SMD-0805",41.1480,25.6540,-90.0000,bottom
"C10","220nF","SMD-0805",19.5580,9.1440,0.0000,bottom
"C11","10nF","SMD-0805",20.5740,6.3500,90.0000,bottom
"C12","10nF","SMD-0805",37.7190,7.7470,90.0000,bottom
"C14","10nF","SMD-0805",40.8940,11.1760,0.0000,bottom
"C15","10uF","SMD-0805",22.7330,6.3500,-90.0000,bottom
"D1","M4","SMA_Standard",23.3680,33.5280,-90.0000,bottom
"D2","M4","SMA_Standard",8.8900,27.1780,-90.0000,bottom
"D3","BAS70-04","SOT-23",17.9070,6.0960,0.0000,bottom
"D4","BZV55C-3,6V","MiniMELF_Standard",40.1320,6.8580,-90.0000,bottom
"R1","1k","SMD-0805",35.0520,2.5400,0.0000,bottom
"R2","1k","SMD-0805",39.1160,29.2100,-90.0000,bottom
"R3","1k","SMD-0805",41.1480,29.2100,-90.0000,bottom
"R4","68k","SMD-0805",25.1460,2.5400,0.0000,bottom
"R5","1k","SMD-0805",29.2100,2.5400,0.0000,bottom
"R6","100","SMD-0805",36.8300,11.1760,0.0000,bottom
"R7","10k","SMD-0805",35.4330,6.6040,-90.0000,bottom
"U1","L6470","POWERSO36",23.8760,18.2880,180.0000,bottom
