Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C13","100uF/50V","Elko_vert_11x5mm_RM2_CopperClear",26.6700,31.3690,90.0000,top
"J1","JUMP_2x1","Straight_2x01",3.8100,24.8920,0.0000,top
"J2","JUMP_2x1","Straight_2x01",3.8100,27.4320,0.0000,top
"J3","JUMP_2x1","Straight_2x01",3.8100,29.9720,0.0000,top
"J4","CONN1_1","WAGO256",18.7960,32.7660,-90.0000,top
"J5","CONN1_1","WAGO256",13.7160,32.7660,-90.0000,top
"J6","JUMP_2x1","Straight_2x01",35.5600,26.1620,0.0000,top
"J7","JUMP_2x1","Straight_2x01",45.7200,29.7180,0.0000,top
"J8","JUMP_2x1","Straight_2x01",45.7200,27.1780,0.0000,top
"J9","JUMP_2x1","Straight_2x01",30.2260,6.6040,90.0000,top
"J10","JUMP_2x1","Straight_2x01",35.5600,28.7020,0.0000,top
"J11","JUMP_2x1","Straight_2x01",35.5600,33.7820,0.0000,top
"J12","JUMP_2x1","Straight_2x01",35.5600,36.3220,0.0000,top
"J13","JUMP_2x1","Straight_2x01",35.5600,31.2420,0.0000,top
"J14","JUMP_2x1","Straight_2x01",14.4780,5.0800,90.0000,top
"J15","JUMP_2x1","Straight_2x01",11.9380,5.0800,90.0000,top
"J18","CONN1_1","Straight_1x01",25.1460,5.3340,0.0000,top
"J19","CONN1_1","Straight_1x01",25.1460,7.8740,0.0000,top
"J20","CONN1_1","WAGO256_2",42.9260,15.0660,0.0000,top
"J21","CONN1_1","WAGO256_2",42.9260,20.0660,0.0000,top
"J22","CONN1_1","WAGO256_2",7.8740,13.2880,180.0000,top
"J23","CONN1_1","WAGO256_2",7.8740,18.2880,180.0000,top
"J24","CONN1_1","Straight_1x01",27.6860,7.8740,0.0000,top
"J25","CONN1_1","Straight_1x01",27.6860,5.3340,0.0000,top
"J26","CONN1_1","Straight_1x01",32.7660,7.8740,0.0000,top
"J27","CONN1_1","Straight_1x01",32.7660,5.3340,0.0000,top
"P1","sroub","MountingHole_3mm",5.0800,5.0800,0.0000,top
"P2","sroub","MountingHole_3mm",5.0800,35.5600,0.0000,top
"P3","sroub","MountingHole_3mm",45.7200,5.0800,0.0000,top
"P4","sroub","MountingHole_3mm",45.7200,35.5600,0.0000,top
